MID,DAY,SEX,AGE,GEN,PRE,ARE,JOB,MAR,CHI,q1t1,q2c1,q2c2,q2c3,q2c4,q3,q3t6,q4s1,q4s2,q4s3,q4s4,q4s5,q4s6,q4s7,q4s8,q4s9,q4s10,q4s11,q4s12,q4s13,q4s14,q4s15,q5
1000044365,6/8/2022 20:56,1,52,6,23,4,3,2,1,No use,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000045227,6/8/2022 19:36,1,49,5,13,3,11,1,2,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000047336,6/8/2022 20:55,2,59,6,35,6,8,2,2,NA,0,1,0,0,6,/NA/,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000050647,6/8/2022 19:15,1,52,6,28,5,3,2,1,YAHOO,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000057524,6/8/2022 20:14,1,68,7,46,8,6,2,1,NA,1,1,0,0,3,/NA/,4,4,4,4,3,3,3,3,2,3,3,4,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000059220,6/8/2022 21:36,1,56,6,27,5,6,1,2,Healthcare,1,0,0,0,1,/NA/,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000059939,6/8/2022 19:02,1,49,5,10,3,5,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000060382,6/8/2022 19:12,2,60,7,28,5,8,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000060408,6/8/2022 19:16,2,56,6,12,3,8,2,1,Connect,0,1,0,0,2,/NA/,4,4,3,3,3,2,2,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000063629,6/8/2022 20:45,1,42,5,11,3,11,1,2,No use,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000063742,6/8/2022 19:30,1,52,6,12,3,3,2,1,No use,0,1,0,0,6,No use,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000063783,6/8/2022 22:19,2,49,5,20,4,9,1,1,Unknown,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000064234,6/8/2022 20:38,2,61,7,11,3,8,2,1,asken,1,0,0,0,6,For heatlh,4,4,3,3,3,3,4,4,3,3,2,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000128658,6/8/2022 19:05,1,69,7,27,5,11,2,1,asmile,1,0,0,0,1,/NA/,2,2,3,2,2,1,1,2,3,2,2,3,3,2,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000132063,6/8/2022 20:29,1,70,7,26,5,11,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000134140,6/8/2022 20:46,2,71,7,1,1,11,2,2,Zepp Life,1,0,0,0,2,/NA/,4,4,3,2,2,2,1,1,2,2,3,3,3,2,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000134902,6/8/2022 22:01,2,42,5,24,5,8,2,1,Sugisapo WALK,0,1,0,0,2,/NA/,5,5,5,5,5,1,1,1,1,3,1,1,1,2,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000138765,6/8/2022 20:47,1,77,7,13,3,9,2,1,NA,0,1,0,0,6,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000141653,6/8/2022 20:57,1,50,6,26,5,5,1,2,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000141879,6/8/2022 19:32,2,54,6,23,4,9,2,2,Sanpo,0,1,0,0,4,/NA/,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000146124,6/8/2022 21:28,1,74,7,22,4,11,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000146563,6/8/2022 20:20,1,70,7,34,6,6,1,2,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000149379,6/8/2022 20:48,1,50,6,1,1,5,2,1,NA,1,0,0,0,1,/NA/,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000170944,6/8/2022 19:31,1,47,5,20,4,3,2,1,NA,0,1,0,0,6,No use,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000187317,6/8/2022 19:48,1,65,7,27,5,7,1,2,NA,0,1,0,0,6,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000188039,6/8/2022 19:50,1,61,7,27,5,3,2,1,NA,1,0,0,0,1,/NA/,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000241999,6/8/2022 21:41,2,64,7,20,4,6,2,1,NA,0,1,0,0,2,/NA/,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000258869,6/8/2022 19:12,2,43,5,9,3,8,2,2,NA,0,1,0,0,6,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000262529,6/8/2022 19:08,1,69,7,27,5,11,2,1,asken,0,1,0,0,3,/NA/,2,3,3,2,3,3,3,3,3,2,2,3,3,2,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000266913,6/8/2022 22:11,1,54,6,15,4,6,1,2,nai,0,1,0,0,3,/NA/,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000268646,6/8/2022 19:25,1,68,7,14,3,11,1,2,Healthcare,1,0,0,0,2,/NA/,3,4,2,2,2,2,3,2,2,2,2,3,3,2,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000269471,6/8/2022 19:13,1,62,7,36,7,1,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000270034,6/8/2022 19:05,1,63,7,14,3,4,2,2,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000270065,6/8/2022 19:24,1,76,7,14,3,11,2,1,No use,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000282811,6/8/2022 20:46,2,49,5,23,4,8,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000283924,6/8/2022 20:51,1,68,7,28,5,2,2,1,My Tracker,0,1,0,0,3,/NA/,4,4,3,2,3,2,2,2,2,3,2,2,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000283962,6/8/2022 19:05,1,66,7,14,3,3,2,1,NA,1,0,0,0,2,/NA/,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000285235,6/8/2022 21:38,2,69,7,27,5,8,2,1,NA,0,0,1,0,6,To watch news,3,2,2,2,2,3,3,3,3,3,2,3,3,2,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000288160,6/8/2022 19:08,1,58,6,14,3,4,2,1,KENCOM,0,1,0,0,1,/NA/,4,2,3,2,2,2,3,3,2,2,1,3,2,2,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000289477,6/8/2022 20:57,1,52,6,16,4,11,1,2,NA,1,0,0,0,6,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000293353,6/8/2022 19:16,1,63,7,28,5,11,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000294218,6/8/2022 20:17,1,58,6,23,4,4,2,1,NA,0,1,0,0,1,/NA/,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000305509,6/8/2022 19:05,2,62,7,13,3,7,2,2,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000307886,6/8/2022 19:20,1,61,7,7,2,5,2,1,Kenko daiichi,0,1,0,0,4,/NA/,3,2,3,2,2,2,2,2,2,3,2,2,2,2,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000308623,6/8/2022 20:12,1,58,6,14,3,3,2,2,Mile,1,0,0,0,2,/NA/,5,5,5,2,2,3,3,2,3,3,2,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000313800,6/8/2022 21:18,1,78,7,14,3,11,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000320593,6/8/2022 20:49,2,59,6,26,5,9,2,1,NA,0,1,0,0,6,/NA/,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000320658,6/8/2022 19:07,1,63,7,13,3,6,1,2,Health,1,0,0,0,6,Health management,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000320695,6/8/2022 22:17,1,72,7,8,3,9,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000321040,6/8/2022 20:45,1,55,6,23,4,3,2,1,NA,0,1,0,0,6,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000322083,6/8/2022 19:44,1,55,6,9,3,6,1,2,Healthcare (iOS),1,0,0,0,3,/NA/,3,3,2,1,1,2,2,2,2,2,1,2,3,1,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000326405,6/8/2022 19:11,1,74,7,14,3,3,2,1,Health Planet,0,1,0,0,2,/NA/,4,4,4,4,1,1,4,4,4,4,1,1,1,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000327401,6/8/2022 19:48,2,49,5,12,3,9,1,1,NA,0,0,1,0,2,/NA/,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000332397,6/8/2022 19:34,2,48,5,14,3,9,2,1,Zutool,1,0,0,0,2,/NA/,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000381462,6/8/2022 21:36,2,58,6,13,3,8,2,1,NA,0,1,0,0,4,/NA/,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000382773,6/8/2022 19:10,2,58,6,31,6,11,1,2,No use,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000383359,6/8/2022 20:58,1,57,6,13,3,4,2,1,NA,0,1,0,0,6,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000384158,6/8/2022 22:09,2,57,6,35,6,8,2,1,NA,0,1,0,0,6,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000384171,6/8/2022 21:58,1,69,7,37,7,11,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000386460,6/8/2022 19:22,2,42,5,28,5,3,1,2,anan,1,0,0,0,4,/NA/,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000386811,6/8/2022 21:54,2,44,5,13,3,8,2,2,FiNC,1,0,0,0,2,/NA/,4,4,3,2,2,3,3,3,2,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000388476,6/8/2022 19:32,1,42,5,13,3,11,1,2,NA,0,1,0,0,6,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000392194,6/8/2022 19:41,1,56,6,33,6,5,1,2,Manpo kei,0,1,0,0,2,/NA/,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000403365,6/8/2022 19:33,1,79,7,9,3,3,2,1,NA,0,0,1,0,6,/NA/,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000408186,6/8/2022 19:03,2,53,6,27,5,5,1,2,No use,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000413831,6/8/2022 22:04,1,53,6,14,3,4,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000470271,6/8/2022 21:30,2,58,6,13,3,3,2,2,asken,0,1,0,0,4,/NA/,3,3,3,2,2,2,3,2,2,2,2,3,3,2,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000493431,6/8/2022 21:00,1,75,7,28,5,11,2,1,No use,0,0,1,0,4,/NA/,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000495083,6/8/2022 19:16,1,51,6,21,4,6,1,1,mobaok,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000507406,6/8/2022 20:57,2,55,6,28,5,9,1,2,No use,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000508021,6/8/2022 21:04,2,50,6,13,3,9,1,2,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000508600,6/8/2022 19:58,2,54,6,40,8,8,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000520818,6/8/2022 22:11,2,80,7,10,3,8,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000523591,6/8/2022 19:08,1,51,6,27,5,6,1,2,NA,1,0,0,0,5,/NA/,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000524198,6/8/2022 19:08,2,52,6,11,3,8,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000537347,6/8/2022 22:03,2,52,6,37,7,6,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000541723,6/8/2022 19:29,1,48,5,27,5,4,2,2,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000544030,6/8/2022 19:03,1,49,5,4,2,5,1,2,NA,0,1,0,0,6,No use,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000551842,6/8/2022 20:24,1,64,7,36,7,6,2,2,Iiyo,1,0,0,0,4,/NA/,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000554899,6/8/2022 19:11,2,40,5,34,6,8,2,1,NA,1,0,0,0,2,/NA/,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000599307,6/8/2022 19:19,1,56,6,13,3,11,1,2,Google Fit,0,1,0,0,6,Checking the amount of exercise,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000608117,6/8/2022 19:39,1,51,6,11,3,1,2,2,NA,1,0,0,0,6,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000701185,6/8/2022 21:26,1,69,7,15,4,11,2,1,Garmin　Connect,0,1,0,0,2,/NA/,2,2,3,2,2,2,2,2,2,3,3,3,3,2,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000701559,6/8/2022 19:54,1,53,6,29,5,5,2,1,NA,0,1,0,1,1,/NA/,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000701852,6/8/2022 19:57,1,61,7,27,5,2,2,2,asken,0,1,0,0,1,/NA/,4,2,3,2,2,2,3,2,2,2,2,2,2,2,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000701926,6/8/2022 20:39,1,57,6,14,3,4,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000705525,6/8/2022 21:24,1,57,6,11,3,3,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000736427,6/8/2022 19:39,1,78,7,13,3,11,1,2,NA,0,1,0,0,6,App,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000738043,6/8/2022 21:50,2,63,7,11,3,9,2,1,Sugisapo,1,0,0,0,4,/NA/,3,3,3,2,2,2,3,3,3,2,2,3,3,2,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000739298,6/8/2022 19:15,1,72,7,25,5,9,2,1,NA,0,0,1,0,6,/NA/,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000740737,6/8/2022 21:48,2,44,5,34,6,8,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000747254,6/8/2022 20:15,1,56,6,11,3,4,1,2,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000752048,6/8/2022 19:52,1,87,7,12,3,11,2,1,NA,0,0,1,0,1,/NA/,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000868920,6/8/2022 21:07,2,40,5,9,3,9,1,2,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000873084,6/8/2022 19:09,1,50,6,11,3,5,1,2,NA,0,1,0,0,2,/NA/,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000873851,6/8/2022 21:24,1,75,7,41,8,6,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000880498,6/8/2022 21:49,1,67,7,33,6,11,1,2,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000882423,6/8/2022 20:27,2,54,6,1,1,8,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
